ngram,up_count,down_count,total_count,polar_score,polarity
"'점/NNG',",3488.0,5447.0,8935.0,0.7339129708356785,Dovish
"'있/VA',",3453.0,5418.0,8871.0,0.7304374639511952,Dovish
"'인하/NNG',",3249.0,6169.0,9418.0,0.6036155279096075,Dovish
"'필요/NNG',",3212.0,4848.0,8060.0,0.759343688869802,Dovish
"'부진/NNG',",2257.0,3416.0,5673.0,0.7572497861620678,Dovish
"'금융/NNG',",2183.0,3355.0,5538.0,0.745738686582852,Dovish
"'가계/NNG',",2157.0,3551.0,5708.0,0.6961854382136827,Dovish
"'금융시장/NNG',",2102.0,3328.0,5430.0,0.7238937989639446,Dovish
"'문제/NNG',",1581.0,2480.0,4061.0,0.7306437126161027,Dovish
"'ecb/NNG',",1502.0,2290.0,3792.0,0.7517265905325643,Dovish
"'국제/NNG',",1483.0,2302.0,3785.0,0.7383483251169016,Dovish
"'효과/NNG',",1470.0,2441.0,3911.0,0.6902000996437292,Dovish
"'갭/NNG',",1168.0,1840.0,3008.0,0.7275292893232195,Dovish
"'측면/NNG',",1108.0,1753.0,2861.0,0.7244081148300608,Dovish
"'대응/NNG',",1093.0,1639.0,2732.0,0.7643049472379412,Dovish
"'층/NNG',",1037.0,2395.0,3432.0,0.49624792177221,Dovish
"'악화/NNG',",1031.0,1572.0,2603.0,0.7516775610051095,Dovish
"'생각/NNG',",1019.0,1623.0,2642.0,0.7195833841631357,Dovish
"'견해/NNG',",996.0,1714.0,2710.0,0.6659996227949678,Dovish
"'지원/NNG',",955.0,1544.0,2499.0,0.708894387504334,Dovish
"'공급/NNG',",942.0,1406.0,2348.0,0.767875912585504,Dovish
"'답변/NNG',",933.0,1504.0,2437.0,0.7109830871361708,Dovish
"'위축/NNG',",885.0,1421.0,2306.0,0.7137968961358403,Dovish
"'원화/NNG',",826.0,1251.0,2077.0,0.7567426299980694,Dovish
"'현상/NNG',",816.0,1340.0,2156.0,0.6979283226146895,Dovish
"'보다/MAG',",800.0,1259.0,2059.0,0.7282654708084549,Dovish
"'실물/NNG',",800.0,1358.0,2158.0,0.6751739526974501,Dovish
"'공사채/NNG',",752.0,1149.0,1901.0,0.7501070966932353,Dovish
"'양적완화/NNG',",732.0,1369.0,2101.0,0.6128202326204664,Dovish
"'위기/NNG',",721.0,1157.0,1878.0,0.7142123706178277,Dovish
"'빌딩/NNG',",716.0,1678.0,2394.0,0.4890424159279845,Dovish
"'유출/NNG',",701.0,1046.0,1747.0,0.7680894427367199,Dovish
"'물/VV',",656.0,1051.0,1707.0,0.7153631844330793,Dovish
"'금융기관/NNG',",636.0,985.0,1621.0,0.7400249250240786,Dovish
"'설명/NNG',",579.0,1032.0,1611.0,0.6430197747072788,Dovish
"'안전자산/NNG',",544.0,956.0,1500.0,0.6521784885563024,Dovish
"'잠재/NNG',",537.0,827.0,1364.0,0.7442078361960932,Dovish
"'유의/NNG',",535.0,907.0,1442.0,0.6760393219367612,Dovish
