ngram,up_count,down_count,total_count,polar_score,polarity
"'목표/NNG',",3213.0,2225.0,5438.0,1.6550311511387232,Hawkish
"'국채선물/NNG',",2996.0,2103.0,5099.0,1.6327812277984992,Hawkish
"'전략/NNG',",2587.0,1367.0,3954.0,2.1689691573260155,Hawkish
"'함/XSV',",1812.0,1437.0,3249.0,1.4451964546257243,Hawkish
"'보험/NNG',",1596.0,1349.0,2945.0,1.3559585054713412,Hawkish
"'베팅/NNG',",914.0,462.0,1376.0,2.2674080392968863,Hawkish
"'위안/NNG',",912.0,664.0,1576.0,1.5741721372433484,Hawkish
"'정상화/NNG',",839.0,717.0,1556.0,1.34112194004518,Hawkish
"'매수전략/NNG',",759.0,229.0,988.0,3.798671640604595,Hawkish
"'제안/NNG',",751.0,485.0,1236.0,1.7746947331942657,Hawkish
"'재료/NNG',",708.0,594.0,1302.0,1.366067863987046,Hawkish
"'유통/NNG',",677.0,383.0,1060.0,2.0258876481198413,Hawkish
"'여전/NNG',",660.0,485.0,1145.0,1.5596518296152102,Hawkish
"'매도전략/NNG',",642.0,287.0,929.0,2.563767233723988,Hawkish
"'월중/NNG',",630.0,419.0,1049.0,1.7232646864950345,Hawkish
"'이자/NNG',",595.0,449.0,1044.0,1.5187842569700605,Hawkish
"'성공/NNG',",579.0,489.0,1068.0,1.3570478670513686,Hawkish
"'s&p/NNG',",544.0,421.0,965.0,1.4809563762079463,Hawkish
"'적절/NNG',",529.0,457.0,986.0,1.326676187704463,Hawkish
"'움직임/VV',",478.0,412.0,890.0,1.3297075746402716,Hawkish
"'하단/NNG',",464.0,378.0,842.0,1.4068624647258279,Hawkish
"'철강/NNG',",462.0,301.0,763.0,1.7591421780854914,Hawkish
"'합니다/XSV',",444.0,362.0,806.0,1.405723359020225,Hawkish
"'바라/VV',",441.0,387.0,828.0,1.3060298003643134,Hawkish
"'기초/NNG',",427.0,374.0,801.0,1.3085241276720023,Hawkish
"'영업이익/NNG',",420.0,225.0,645.0,2.1394011907603914,Hawkish
"'공모/NNG',",417.0,275.0,692.0,1.7379161645547998,Hawkish
"'우량등급/NNG',",394.0,308.0,702.0,1.4661248915909202,Hawkish
"'운송/NNG',",393.0,243.0,636.0,1.8535817208603158,Hawkish
"'하이일드/NNG',",385.0,282.0,667.0,1.5647216183630535,Hawkish
"'강/NNG',",385.0,284.0,669.0,1.5537024521011564,Hawkish
"'하/NNG',",376.0,327.0,703.0,1.317848705510124,Hawkish
"'호재/NNG',",362.0,247.0,609.0,1.6797207169548993,Hawkish
"'a등급/NNG',",353.0,257.0,610.0,1.5742258646006178,Hawkish
"'혼합형/NNG',",352.0,289.0,641.0,1.3959513485466744,Hawkish
"'패턴/NNG',",351.0,302.0,653.0,1.3320656690415718,Hawkish
"'손/NNG',",350.0,286.0,636.0,1.4025794550616815,Hawkish
"'고점/NNG',",341.0,285.0,626.0,1.3713079092325382,Hawkish
"'부품/NNG',",335.0,158.0,493.0,2.430038640380436,Hawkish
