,date,callrate,month_date,month_rate,label
0,2004.12.24,3.29,2004.11.24,0.0,up
1,2004.12.25,3.29,2004.11.25,0.0,up
2,2004.12.26,3.29,2004.11.26,0.0,up
3,2004.12.27,3.29,2004.11.27,0.0,up
4,2004.12.28,3.27,2004.11.28,0.0,up
5,2004.12.29,3.26,2004.11.29,0.0,up
6,2004.12.30,3.28,2004.11.30,0.0,up
7,2004.12.31,3.29,2004.11.30,0.0,up
8,2005.01.01,3.29,2004.12.01,0.0,up
9,2005.01.02,3.29,2004.12.02,0.0,up
10,2005.01.03,3.27,2004.12.03,0.0,up
11,2005.01.04,3.27,2004.12.04,0.0,up
12,2005.01.05,3.28,2004.12.05,0.0,up
13,2005.01.06,3.21,2004.12.06,0.0,up
14,2005.01.07,3.22,2004.12.07,0.0,up
15,2005.01.08,3.22,2004.12.08,0.0,up
16,2005.01.09,3.22,2004.12.09,0.0,up
17,2005.01.10,3.27,2004.12.10,0.0,up
18,2005.01.11,3.28,2004.12.11,0.0,up
19,2005.01.12,3.27,2004.12.12,0.0,up
20,2005.01.13,3.28,2004.12.13,0.0,up
21,2005.01.14,3.26,2004.12.14,0.0,up
22,2005.01.15,3.26,2004.12.15,0.0,up
23,2005.01.16,3.26,2004.12.16,0.0,up
24,2005.01.17,3.25,2004.12.17,0.0,up
25,2005.01.18,3.25,2004.12.18,0.0,up
26,2005.01.19,3.25,2004.12.19,0.0,up
27,2005.01.20,3.23,2004.12.20,0.0,up
28,2005.01.21,3.19,2004.12.21,0.0,up
29,2005.01.22,3.19,2004.12.22,0.0,up
30,2005.01.23,3.19,2004.12.23,0.0,up
31,2005.01.24,3.25,2004.12.24,3.29,down
32,2005.01.25,3.25,2004.12.25,3.29,down
33,2005.01.26,3.26,2004.12.26,3.29,down
34,2005.01.27,3.24,2004.12.27,3.29,down
35,2005.01.28,3.25,2004.12.28,3.27,down
36,2005.01.29,3.25,2004.12.29,3.26,down
37,2005.01.30,3.25,2004.12.30,3.28,down
38,2005.01.31,3.26,2004.12.31,3.29,down
39,2005.02.01,3.26,2005.01.01,3.29,down
40,2005.02.02,3.25,2005.01.02,3.29,down
41,2005.02.03,3.26,2005.01.03,3.27,down
42,2005.02.04,3.22,2005.01.04,3.27,down
43,2005.02.05,3.22,2005.01.05,3.28,down
44,2005.02.06,3.22,2005.01.06,3.21,up
45,2005.02.07,3.18,2005.01.07,3.22,down
46,2005.02.08,3.18,2005.01.08,3.22,down
47,2005.02.09,3.18,2005.01.09,3.22,down
48,2005.02.10,3.18,2005.01.10,3.27,down
49,2005.02.11,3.27,2005.01.11,3.28,down
50,2005.02.12,3.27,2005.01.12,3.27,same
51,2005.02.13,3.27,2005.01.13,3.28,down
52,2005.02.14,3.26,2005.01.14,3.26,same
53,2005.02.15,3.26,2005.01.15,3.26,same
54,2005.02.16,3.26,2005.01.16,3.26,same
55,2005.02.17,3.27,2005.01.17,3.25,up
56,2005.02.18,3.26,2005.01.18,3.25,up
57,2005.02.19,3.26,2005.01.19,3.25,up
58,2005.02.20,3.26,2005.01.20,3.23,up
59,2005.02.21,3.26,2005.01.21,3.19,up
60,2005.02.22,3.22,2005.01.22,3.19,up
61,2005.02.23,3.28,2005.01.23,3.19,up
62,2005.02.24,3.27,2005.01.24,3.25,up
63,2005.02.25,3.28,2005.01.25,3.25,up
64,2005.02.26,3.28,2005.01.26,3.26,up
65,2005.02.27,3.28,2005.01.27,3.24,up
66,2005.02.28,3.28,2005.01.28,3.25,up
67,2005.03.01,3.28,2005.02.01,3.26,up
68,2005.03.02,3.28,2005.02.02,3.25,up
69,2005.03.03,3.27,2005.02.03,3.26,up
70,2005.03.04,3.25,2005.02.04,3.22,up
71,2005.03.05,3.25,2005.02.05,3.22,up
72,2005.03.06,3.25,2005.02.06,3.22,up
73,2005.03.07,3.17,2005.02.07,3.18,down
74,2005.03.08,3.27,2005.02.08,3.18,up
75,2005.03.09,3.27,2005.02.09,3.18,up
76,2005.03.10,3.26,2005.02.10,3.18,up
77,2005.03.11,3.25,2005.02.11,3.27,down
78,2005.03.12,3.25,2005.02.12,3.27,down
79,2005.03.13,3.25,2005.02.13,3.27,down
80,2005.03.14,3.24,2005.02.14,3.26,down
81,2005.03.15,3.24,2005.02.15,3.26,down
82,2005.03.16,3.23,2005.02.16,3.26,down
83,2005.03.17,3.23,2005.02.17,3.27,down
84,2005.03.18,3.23,2005.02.18,3.26,down
85,2005.03.19,3.23,2005.02.19,3.26,down
86,2005.03.20,3.23,2005.02.20,3.26,down
87,2005.03.21,3.16,2005.02.21,3.26,down
88,2005.03.22,3.17,2005.02.22,3.22,down
89,2005.03.23,3.23,2005.02.23,3.28,down
90,2005.03.24,3.23,2005.02.24,3.27,down
91,2005.03.25,3.26,2005.02.25,3.28,down
92,2005.03.26,3.26,2005.02.26,3.28,down
93,2005.03.27,3.26,2005.02.27,3.28,down
94,2005.03.28,3.25,2005.02.28,3.28,down
95,2005.03.29,3.24,2005.02.28,3.28,down
96,2005.03.30,3.25,2005.02.28,3.28,down
97,2005.03.31,3.26,2005.02.28,3.28,down
98,2005.04.01,3.25,2005.03.01,3.28,down
99,2005.04.02,3.25,2005.03.02,3.28,down
100,2005.04.03,3.25,2005.03.03,3.27,down
101,2005.04.04,3.24,2005.03.04,3.25,down
102,2005.04.05,3.24,2005.03.05,3.25,down
103,2005.04.06,3.23,2005.03.06,3.25,down
104,2005.04.07,3.23,2005.03.07,3.17,up
105,2005.04.08,3.26,2005.03.08,3.27,down
106,2005.04.09,3.26,2005.03.09,3.27,down
107,2005.04.10,3.26,2005.03.10,3.26,same
108,2005.04.11,3.25,2005.03.11,3.25,same
109,2005.04.12,3.24,2005.03.12,3.25,down
110,2005.04.13,3.25,2005.03.13,3.25,same
111,2005.04.14,3.25,2005.03.14,3.24,up
112,2005.04.15,3.26,2005.03.15,3.24,up
113,2005.04.16,3.26,2005.03.16,3.23,up
114,2005.04.17,3.26,2005.03.17,3.23,up
115,2005.04.18,3.25,2005.03.18,3.23,up
116,2005.04.19,3.26,2005.03.19,3.23,up
117,2005.04.20,3.26,2005.03.20,3.23,up
118,2005.04.21,3.23,2005.03.21,3.16,up
119,2005.04.22,3.24,2005.03.22,3.17,up
120,2005.04.23,3.24,2005.03.23,3.23,up
121,2005.04.24,3.24,2005.03.24,3.23,up
